Upisni broj,Smjer,Bodovi iz skole,Bodovi s drzavne mature,Bodovi ukupno
17068,Ekonomija,503,313,816
20268,Ekonomija,505,304,809
4656,Ekonomija,504,280,784
22401,Ekonomija,464,312,776
11527,Ekonomija,476,292,768
18521,Ekonomija,497,268,765
22308,Ekonomija,500,264,764
11528,Ekonomija,488,275,763
10443,Ekonomija,453,301,754
23217,Ekonomija,511,243,754
13549,Ekonomija,480,270,750
14614,Ekonomija,496,252,748
17767,Ekonomija,475,271,746
21802,Ekonomija,504,241,745
7307,Ekonomija,432,312,744
6015,Ekonomija,460,283,743
3708,Ekonomija,517,221,738
3527,Ekonomija,479,257,736
9743,Ekonomija,425,293,718
12383,Ekonomija,482,230,712
20390,Ekonomija,495,215,710
14815,Ekonomija,415,294,709
14412,Ekonomija,390,316,706
10491,Ekonomija,420,279,699
22222,Ekonomija,463,233,696
25675,Ekonomija,416,278,694
25990,Ekonomija,417,273,690
4182,Ekonomija,496,193,689
10557,Ekonomija,399,289,688
12361,Ekonomija,416,269,685
16280,Ekonomija,391,291,682
4655,Ekonomija,464,217,681
24095,Ekonomija,486,195,681
29680,Ekonomija,411,266,677
12675,Ekonomija,465,210,675
9633,Ekonomija,442,233,675
17759,Ekonomija,449,225,674
954,Ekonomija,362,309,671
23645,Ekonomija,359,308,667
61,Ekonomija,435,231,666
15856,Ekonomija,380,285,665
19349,Ekonomija,398,266,664
26662,Ekonomija,358,305,663
4419,Ekonomija,459,198,657
16363,Ekonomija,368,288,656
28099,Ekonomija,391,262,653
13619,Ekonomija,356,294,650
6336,Ekonomija,338,310,648
18980,Ekonomija,404,242,646
11644,Ekonomija,325,318,643
6924,Ekonomija,437,201,638
2234,Ekonomija,421,216,637
6198,Ekonomija,334,302,636
25552,Ekonomija,394,237,631
25710,Ekonomija,385,231,616
210,Ekonomija,390,225,615
19456,Ekonomija,430,183,613
25483,Ekonomija,292,315,607
6149,Ekonomija,410,196,606
14619,Ekonomija,312,290,602
27458,Ekonomija,311,290,601
15363,Ekonomija,294,305,599
27067,Ekonomija,390,208,598
13574,Ekonomija,357,241,598
29675,Ekonomija,312,285,597
14616,Ekonomija,349,247,596
20335,Ekonomija,369,224,593
4455,Ekonomija,338,253,591
24529,Ekonomija,270,318,588
23155,Ekonomija,402,184,586
3653,Ekonomija,263,319,582
12204,Ekonomija,369,209,578
18637,Ekonomija,355,219,574
23098,Ekonomija,290,284,574
1062,Ekonomija,349,222,571
15356,Ekonomija,279,292,571
20717,Ekonomija,371,197,568
14515,Ekonomija,309,258,567
9217,Ekonomija,363,197,560
16810,Ekonomija,248,312,560
18946,Ekonomija,371,187,558
28665,Ekonomija,285,272,557
14698,Ekonomija,249,299,548
11144,Ekonomija,276,266,542
28695,Ekonomija,242,295,537
5597,Ekonomija,235,294,529
29382,Ekonomija,224,302,526
15035,Ekonomija,227,287,514
12538,Ekonomija,265,246,511
11696,Ekonomija,322,182,504
22294,Ekonomija,270,233,503
15801,Ekonomija,311,192,503
17440,Ekonomija,267,234,501
2744,Ekonomija,282,217,499
5442,Ekonomija,304,191,495
12753,Ekonomija,290,194,484
7733,Ekonomija,224,259,483
8766,Ekonomija,223,258,481
336,Ekonomija,279,199,478
11684,Ekonomija,250,227,477
25808,Ekonomija,256,221,477
29330,Ekonomija,250,221,471
6488,Ekonomija,242,228,470
4350,Ekonomija,266,203,469
23196,Ekonomija,221,247,468
27551,Ekonomija,223,233,456
26513,Ekonomija,233,211,444
24709,Ekonomija,231,189,420
8658,Ekonomija,223,184,407
12051,Ekonomija,220,181,401
