Upisni broj,Smjer,Bodovi iz skole,Bodovi s drzavne mature,Bodovi ukupno
13140,Graditeljstvo,500,304,804
25657,Graditeljstvo,500,298,798
13199,Graditeljstvo,486,299,785
6500,Graditeljstvo,518,258,776
22591,Graditeljstvo,455,319,774
24683,Graditeljstvo,451,319,770
18765,Graditeljstvo,475,295,770
12600,Graditeljstvo,472,298,770
19152,Graditeljstvo,452,312,764
4557,Graditeljstvo,471,292,763
10906,Graditeljstvo,451,304,755
19981,Graditeljstvo,449,299,748
7366,Graditeljstvo,484,259,743
17831,Graditeljstvo,450,292,742
8696,Graditeljstvo,437,303,740
19051,Graditeljstvo,472,265,737
17483,Graditeljstvo,513,204,717
13226,Graditeljstvo,457,258,715
4616,Graditeljstvo,497,217,714
20369,Graditeljstvo,477,232,709
20631,Graditeljstvo,386,320,706
13244,Graditeljstvo,388,317,705
8748,Graditeljstvo,439,262,701
13601,Graditeljstvo,451,244,695
801,Graditeljstvo,402,293,695
591,Graditeljstvo,483,211,694
3466,Graditeljstvo,395,297,692
24151,Graditeljstvo,473,218,691
21497,Graditeljstvo,477,209,686
13866,Graditeljstvo,478,205,683
20625,Graditeljstvo,375,303,678
6922,Graditeljstvo,450,228,678
6498,Graditeljstvo,476,200,676
20817,Graditeljstvo,425,250,675
11179,Graditeljstvo,375,298,673
11325,Graditeljstvo,491,181,672
13583,Graditeljstvo,415,252,667
4699,Graditeljstvo,468,197,665
27221,Graditeljstvo,409,254,663
1428,Graditeljstvo,342,320,662
12584,Graditeljstvo,413,245,658
4263,Graditeljstvo,358,299,657
19702,Graditeljstvo,448,204,652
6974,Graditeljstvo,331,317,648
27416,Graditeljstvo,371,277,648
25525,Graditeljstvo,410,232,642
5977,Graditeljstvo,437,201,638
948,Graditeljstvo,368,267,635
5198,Graditeljstvo,402,230,632
11577,Graditeljstvo,341,286,627
26848,Graditeljstvo,380,244,624
14240,Graditeljstvo,352,272,624
5763,Graditeljstvo,402,218,620
12139,Graditeljstvo,392,227,619
2004,Graditeljstvo,309,306,615
226,Graditeljstvo,385,227,612
14110,Graditeljstvo,388,222,610
2588,Graditeljstvo,307,298,605
29229,Graditeljstvo,359,245,604
23726,Graditeljstvo,300,303,603
8453,Graditeljstvo,399,204,603
25796,Graditeljstvo,286,310,596
8604,Graditeljstvo,409,186,595
13008,Graditeljstvo,326,266,592
17553,Graditeljstvo,288,304,592
3695,Graditeljstvo,338,252,590
25835,Graditeljstvo,383,205,588
28741,Graditeljstvo,368,217,585
26945,Graditeljstvo,294,289,583
16775,Graditeljstvo,401,180,581
20629,Graditeljstvo,278,302,580
21266,Graditeljstvo,328,245,573
1780,Graditeljstvo,301,272,573
1958,Graditeljstvo,317,250,567
2505,Graditeljstvo,286,279,565
3815,Graditeljstvo,290,275,565
21801,Graditeljstvo,300,256,556
15333,Graditeljstvo,303,251,554
19742,Graditeljstvo,233,320,553
24669,Graditeljstvo,323,227,550
20077,Graditeljstvo,309,240,549
9482,Graditeljstvo,280,259,539
26806,Graditeljstvo,249,289,538
20530,Graditeljstvo,303,234,537
5306,Graditeljstvo,221,315,536
25811,Graditeljstvo,313,221,534
3621,Graditeljstvo,292,231,523
27146,Graditeljstvo,322,199,521
21690,Graditeljstvo,339,181,520
3307,Graditeljstvo,277,242,519
12284,Graditeljstvo,331,181,512
20454,Graditeljstvo,320,192,512
15072,Graditeljstvo,298,213,511
22648,Graditeljstvo,259,251,510
17463,Graditeljstvo,312,189,501
14026,Graditeljstvo,291,202,493
6220,Graditeljstvo,221,271,492
16330,Graditeljstvo,280,210,490
22082,Graditeljstvo,224,261,485
9105,Graditeljstvo,225,257,482
3430,Graditeljstvo,241,236,477
27,Graditeljstvo,256,209,465
20630,Graditeljstvo,222,242,464
7390,Graditeljstvo,270,192,462
18793,Graditeljstvo,264,194,458
1501,Graditeljstvo,248,203,451
9692,Graditeljstvo,259,190,449
19143,Graditeljstvo,231,206,437
13143,Graditeljstvo,235,189,424
3757,Graditeljstvo,227,192,419
